location,size,total_sqft,bath,price,price_per_sqft
 Devarabeesana Halli,3,1672.0,3.0,150.0,0.08971291866028708
MCECHS  layout,3,1500.0,2.0,65.0,0.043333333333333335
Geddalahalli,2,1400.0,2.0,65.0,0.04642857142857143
Bommasandra,2,920.0,2.0,37.46,0.04071739130434783
Sarjapur  Road,3,1200.0,3.0,70.0,0.058333333333333334
Hosakerehalli,3,1817.0,4.0,153.0,0.08420473307649973
Haralur Road,2,1464.0,2.0,56.0,0.03825136612021858
Ambedkar Colony,2,1468.0,3.0,130.0,0.0885558583106267
Electronics City Phase 1,3,1555.0,2.0,82.0,0.052733118971061095
Munnekollal,6,1200.0,4.0,110.0,0.09166666666666666
Whitefield,2,1150.0,2.0,55.0,0.04782608695652174
Kadubeesanahalli,2,970.0,2.0,35.0,0.03608247422680412
Banashankari,4,2500.0,4.0,95.0,0.038
Seetharampalya,2,1166.0,2.0,53.0,0.045454545454545456
Electronic City,3,1350.0,3.0,58.0,0.04296296296296296
Mariyannapalya,2,900.0,2.0,46.0,0.051111111111111114
Kanaka Nagar,3,1190.0,3.0,55.0,0.046218487394957986
Kodichikkanahalli,3,1495.0,2.0,75.0,0.05016722408026756
Indira Nagar,2,1224.0,2.0,105.0,0.0857843137254902
Banashankari Stage III,3,1350.0,2.0,68.0,0.05037037037037037
Green Glen Layout,2,940.0,2.0,56.8,0.06042553191489362
Raja Rajeshwari Nagar,2,1100.0,2.0,55.0,0.05
Kaikondrahalli,2,1300.0,2.0,61.0,0.04692307692307692
Hoodi,2,1105.0,2.0,46.37,0.04196380090497737
Yelahanka,3,1517.0,3.0,76.3,0.05029663810151615
Jalahalli,3,1615.0,3.0,89.75,0.05557275541795666
MCECHS  layout,3,1500.0,3.0,65.0,0.043333333333333335
Mysore Road,3,1082.0,3.0,50.5,0.0466728280961183
Marathahalli,2,1365.0,2.0,73.0,0.05347985347985348
Electronic City,2,1000.0,2.0,25.0,0.025
CV Raman Nagar,2,1392.0,2.0,98.0,0.07040229885057471
Kodigehalli,2,1086.0,2.0,33.66,0.030994475138121542
Hennur Road,3,1586.0,3.0,93.94,0.05923076923076923
Hennur,2,1100.0,2.0,60.0,0.05454545454545454
Electronic City Phase II,2,1065.0,2.0,30.75,0.028873239436619718
TC Palaya,3,1500.0,2.0,120.0,0.08
7th Phase JP Nagar,3,1575.0,2.0,120.0,0.0761904761904762
Hennur Road,3,1975.0,3.0,123.0,0.062278481012658225
Nelamangala,2,820.0,2.0,24.0,0.02926829268292683
Gubbalala,3,1745.0,3.0,110.0,0.06303724928366762
Nagarbhavi,2,1223.0,2.0,60.0,0.04905968928863451
Ananth Nagar,3,1200.0,2.0,65.0,0.05416666666666667
Basaveshwara Nagar,2,1200.0,2.0,90.0,0.075
Binny Pete,1,665.0,1.0,46.08,0.06929323308270677
Bharathi Nagar,2,1351.0,2.0,70.0,0.05181347150259067
Thanisandra,3,1588.0,3.0,75.55,0.04757556675062972
Amruthahalli,2,900.0,2.0,60.0,0.06666666666666667
Panathur,3,1370.0,2.0,75.0,0.05474452554744526
Whitefield,3,1500.0,3.0,71.8,0.04786666666666666
Hoodi,2,1247.0,2.0,53.0,0.042502004811547714
Balagere,2,1020.07,2.0,68.38,0.06703461527150097
Gunjur Palya,3,1033.0,2.0,32.0,0.030977734753146177
B Narayanapura,3,1460.0,2.0,73.0,0.05
Garudachar Palya,2,1150.0,2.0,52.8,0.04591304347826087
Babusapalaya,2,1141.0,2.0,46.0,0.040315512708150744
Hosa Road,3,1665.0,2.0,125.0,0.07507507507507508
Kanakapura,2,1295.0,2.0,64.0,0.04942084942084942
Haralur Road,2,1230.0,2.0,78.0,0.06341463414634146
Anand Nagar,3,1080.0,2.0,75.0,0.06944444444444445
Kaggalipura,2,1000.0,2.0,60.0,0.06
Kaval Byrasandra,3,2400.0,2.0,50.0,0.020833333333333332
Whitefield,1,630.5,1.0,32.79,0.05200634417129262
Rayasandra,3,1708.0,3.0,75.0,0.043911007025761124
Thanisandra,3,1697.0,3.0,115.0,0.06776664702416028
Hosa Road,1,615.0,1.0,28.29,0.046
Banashankari,3,1350.0,2.0,83.0,0.061481481481481484
Kanakpura Road,3,1530.0,2.0,66.4,0.04339869281045752
Jalahalli,2,1083.0,2.0,32.49,0.030000000000000002
Gottigere,3,1460.0,2.0,65.0,0.04452054794520548
Babusapalaya,2,1084.0,2.0,58.0,0.05350553505535055
Bommasandra,2,1035.0,2.0,41.43,0.04002898550724638
Vijaya Bank Layout,3,2400.0,2.0,150.0,0.0625
Hosur Road,1,460.0,1.0,21.0,0.04565217391304348
Whitefield,2,1285.0,2.0,55.9,0.04350194552529183
Sarjapur,3,1200.0,3.0,78.0,0.065
Raghuvanahalli,2,1070.0,2.0,35.0,0.03271028037383177
Hegde Nagar,3,1801.0,3.0,140.0,0.07773459189339256
Whitefield,3,1697.0,3.0,115.0,0.06776664702416028
AECS Layout,2,1199.0,2.0,65.0,0.05421184320266889
Wilson Garden,2,1125.0,2.0,75.0,0.06666666666666667
Anandapura,2,1200.0,2.0,67.0,0.05583333333333333
Subramanyapura,2,1050.0,2.0,41.0,0.039047619047619046
Nagarbhavi,2,956.0,2.0,49.0,0.051255230125523014
Sarjapur,2,1000.0,2.0,30.0,0.03
Dooravani Nagar,3,1596.0,3.0,95.0,0.05952380952380952
Kanakpura Road,2,1296.0,2.0,89.06,0.06871913580246913
Challaghatta,3,1639.0,3.0,123.0,0.075045759609518
Electronic City Phase II,2,1219.0,2.0,61.25,0.050246103363412634
Uttarahalli,3,1200.0,3.0,50.0,0.041666666666666664
Bannerghatta Road,2,1218.0,2.0,73.0,0.05993431855500821
Nyanappana Halli,2,920.0,2.0,37.0,0.04021739130434782
Yeshwanthpur,3,2559.0,3.0,141.0,0.05509964830011723
2nd Phase Judicial Layout,1,525.0,1.0,26.0,0.049523809523809526
Bannerghatta Road,3,1427.0,2.0,48.51,0.033994393833216535
Kothannur,3,1270.0,3.0,45.0,0.03543307086614173
Ramagondanahalli,2,920.0,2.0,65.0,0.07065217391304347
Ramamurthy Nagar,3,1355.0,2.0,40.0,0.02952029520295203
Lingadheeranahalli,3,1530.0,2.0,90.0,0.058823529411764705
Gokula Extension,3,1372.0,2.0,90.0,0.06559766763848396
Jakkur,3,1950.0,3.0,131.0,0.06717948717948719
Hoysalanagar,2,885.0,2.0,40.0,0.04519774011299435
Yelahanka,2,600.0,2.0,27.0,0.045
Kanakpura Road,2,1339.0,2.0,62.0,0.04630321135175504
Whitefield,2,1130.0,2.0,36.0,0.03185840707964602
Uttarahalli,2,1085.0,2.0,43.0,0.03963133640552995
Yeshwanthpur,3,1430.0,3.0,72.0,0.05034965034965035
Bhoganhalli,4,1451.5,4.0,121.0,0.08336203926972098
AGS Layout,3,1490.0,2.0,59.6,0.04
Vishwanatha Nagenahalli,4,1650.0,4.0,99.0,0.06
Bellandur,2,1286.0,2.0,57.0,0.04432348367029549
KR Garden,2,925.0,2.0,63.0,0.0681081081081081
Haralur Road,2,1000.0,2.0,44.0,0.044
Whitefield,2,1215.0,2.0,39.0,0.03209876543209877
Kanakadasa Layout,4,1200.0,3.0,95.0,0.07916666666666666
Lakshminarayana Pura,2,1336.0,2.0,100.0,0.0748502994011976
Yeshwanthpur,1,673.0,1.0,36.85,0.05475482912332838
Anandapura,2,1200.0,2.0,58.0,0.04833333333333333
Mallathahalli,2,1200.0,2.0,79.0,0.06583333333333333
Sector 2 HSR Layout,2,1143.0,2.0,65.0,0.0568678915135608
Kanakpura Road,2,1470.0,2.0,61.74,0.042
Laxminarayana Layout,4,1584.0,3.0,145.0,0.09154040404040405
Marathahalli,3,1785.0,3.0,94.0,0.05266106442577031
Kothanur,3,1460.0,3.0,71.0,0.04863013698630137
Kasturi Nagar,3,1500.0,2.0,80.0,0.05333333333333334
Chikkalasandra,2,1230.0,2.0,48.0,0.03902439024390244
Yelahanka New Town,1,650.0,1.0,20.0,0.03076923076923077
Benson Town,2,1480.0,2.0,120.0,0.08108108108108109
Thanisandra,2,1220.0,2.0,43.92,0.036000000000000004
Dooravani Nagar,3,1570.0,3.0,115.0,0.0732484076433121
Mallasandra,3,1665.0,3.0,86.91,0.052198198198198195
Ramamurthy Nagar,2,1100.0,2.0,68.0,0.06181818181818182
Kathriguppe,3,1350.0,2.0,87.01,0.06445185185185186
Kasavanhalli,3,1719.0,3.0,116.0,0.06748109365910412
Budigere,1,664.0,1.0,35.0,0.05271084337349398
Sonnenahalli,2,1011.0,2.0,50.53,0.04998021760633037
Basaveshwara Nagar Yelahanka,3,1680.0,3.0,85.0,0.050595238095238096
Yeshwanthpur,2,717.0,2.0,49.475,0.06900278940027894
Uttarahalli,3,1350.0,2.0,53.0,0.03925925925925926
Kothanur,3,1760.0,3.0,150.0,0.08522727272727272
Pattandur Agrahara,2,875.0,2.0,33.0,0.037714285714285714
Hennur,2,1231.0,2.0,48.0,0.03899268887083672
Somasundara Palya,2,1174.0,2.0,74.0,0.06303236797274275
Munnekollal,3,1560.0,3.0,75.0,0.04807692307692308
HOSUR MAIN ROAD,2,1464.0,2.0,56.0,0.03825136612021858
Kanakpura Road,3,2200.0,3.0,130.0,0.05909090909090909
Shivaji Nagar,2,850.0,2.0,55.0,0.06470588235294118
1st Phase JP Nagar,3,2024.0,3.0,157.0,0.0775691699604743
Devanahalli,2,1080.0,2.0,44.0,0.040740740740740744
Electronic City,2,1020.0,2.0,29.46,0.02888235294117647
Begur Road,3,1500.0,2.0,55.0,0.03666666666666667
Channasandra,2,1030.0,2.0,34.5,0.03349514563106796
Hebbal,2,1440.0,2.0,115.0,0.0798611111111111
Hoodi,2,1500.0,2.0,84.0,0.056
Thanisandra,1,1380.0,1.0,62.1,0.045
Bagalur,2,1200.0,2.0,50.0,0.041666666666666664
Vinayak Nagar,1,705.0,1.0,36.5,0.05177304964539007
Hegde Nagar,3,1584.01,3.0,103.0,0.06502484201488627
P Krishnappa Layout,3,1340.0,3.0,77.0,0.057462686567164176
Green Garden Layout,3,1800.0,3.0,70.0,0.03888888888888889
R.T. Nagar,2,1200.0,2.0,45.0,0.0375
Sarjapur  Road,1,685.0,1.0,40.0,0.058394160583941604
Kalkere,2,925.0,2.0,42.0,0.04540540540540541
Crimson Layout,2,1230.0,2.0,57.0,0.046341463414634146
Kodichikkanahalli,2,1125.0,2.0,52.0,0.04622222222222222
Hebbal,2,1100.0,2.0,54.0,0.04909090909090909
Jigani,3,2400.0,3.0,149.0,0.06208333333333333
Electronic City Phase II,3,1400.0,2.0,41.58,0.029699999999999997
Jakkur,3,1858.0,3.0,98.3,0.052906350914962326
HSR Layout,2,1185.0,2.0,60.0,0.05063291139240506
Hennur,2,1255.0,2.0,58.0,0.046215139442231074
Kudlu Gate,3,1335.0,3.0,89.0,0.06666666666666667
Dodda Nekkundi,3,1999.0,3.0,132.0,0.06603301650825413
Kundalahalli,3,1397.0,3.0,110.0,0.07874015748031496
Chikka Tirupathi,3,1616.0,3.0,95.0,0.058787128712871284
Raja Rajeshwari Nagar,2,1140.0,2.0,38.55,0.03381578947368421
Varthur,3,1200.0,2.0,98.0,0.08166666666666667
Balagere,2,1205.47,2.0,81.0,0.06719370867794304
Electronic City,3,1700.0,3.0,75.0,0.04411764705882353
Thanisandra,5,750.0,4.0,62.0,0.08266666666666667
Kanakpura Road,2,1090.0,2.0,54.54,0.05003669724770642
Thanisandra,1,923.0,1.0,60.84,0.06591549295774649
Green Glen Layout,2,1050.0,2.0,48.0,0.045714285714285714
Hennur Road,3,1664.0,2.0,93.865,0.05640925480769231
Narayanapura,3,1485.0,3.0,85.0,0.05723905723905724
Dommasandra,3,1033.0,2.0,31.5,0.03049370764762827
Electronic City,3,1400.0,2.0,48.0,0.03428571428571429
Sarjapur  Road,2,944.0,2.0,35.0,0.037076271186440676
Whitefield,2,1216.0,2.0,66.48,0.054671052631578954
Thirumenahalli,2,1100.0,2.0,39.5,0.03590909090909091
Thanisandra,3,1743.0,3.0,93.25,0.05349971313826735
Yelahanka,2,1274.0,2.0,48.42,0.03800627943485087
Mysore Road,3,1512.0,2.0,110.0,0.07275132275132275
Cox Town,3,1650.0,3.0,100.0,0.06060606060606061
Doddathoguru,3,1875.0,3.0,55.0,0.029333333333333333
Whitefield,3,1350.0,3.0,54.0,0.04
Rajiv Gandhi Nagar,2,1219.0,2.0,40.0,0.03281378178835111
Sarjapura - Attibele Road,3,2400.0,3.0,85.0,0.035416666666666666
Hormavu,2,1141.0,2.0,44.4,0.03891323400525854
Anandapura,2,1151.0,2.0,43.1,0.03744569939183319
Bommenahalli,3,832.0,3.0,77.0,0.09254807692307693
Sarjapur  Road,2,915.0,2.0,38.0,0.041530054644808745
Bannerghatta Road,2,1115.0,2.0,65.12,0.05840358744394619
Thigalarapalya,3,2072.0,4.0,139.0,0.06708494208494209
Kaggadasapura,2,1200.0,2.0,53.0,0.04416666666666667
Singasandra,2,1300.0,2.0,65.0,0.05
Bellandur,2,1457.0,2.0,85.0,0.05833905284831846
Kannamangala,2,1262.0,2.0,55.0,0.043581616481774964
Ananth Nagar,2,900.0,2.0,22.5,0.025
Attibele,1,420.0,1.0,17.0,0.04047619047619048
Kanakapura,2,1160.0,2.0,46.39,0.03999137931034483
Kasavanhalli,2,1115.0,2.0,50.0,0.04484304932735426
JP Nagar,3,1315.0,2.0,85.4,0.06494296577946769
Babusapalaya,2,1500.0,2.0,57.0,0.038
HSR Layout,2,1127.0,2.0,68.0,0.06033717834960071
Kundalahalli,3,1397.0,3.0,104.0,0.0744452397995705
Whitefield,2,1173.0,2.0,60.0,0.05115089514066496
Sompura,2,1090.0,2.0,28.0,0.025688073394495414
Jakkur,2,1230.0,2.0,76.0,0.061788617886178863
Sarjapur  Road,2,858.0,2.0,31.57,0.03679487179487179
Talaghattapura,3,1868.0,3.0,121.0,0.06477516059957174
Uttarahalli,3,1689.28,3.0,91.2,0.0539874976321273
Banashankari,3,1425.0,3.0,49.88,0.03500350877192983
Tindlu,2,1350.0,2.0,100.0,0.07407407407407407
Uttarahalli,3,1310.0,2.0,85.0,0.0648854961832061
MLA Layout,2,970.0,2.0,40.0,0.041237113402061855
Kundalahalli,3,1397.0,3.0,108.0,0.07730851825340014
Sarjapur,2,1157.0,2.0,40.0,0.03457216940363008
Kasavanhalli,2,1125.0,2.0,61.2,0.054400000000000004
Sonnenahalli,2,1157.0,2.0,42.0,0.036300777873811585
Sarjapur  Road,2,1241.0,2.0,82.0,0.06607574536663981
Binny Pete,1,660.0,1.0,62.0,0.09393939393939393
Rajiv Nagar,4,2340.0,4.0,148.0,0.06324786324786325
Venkatadri Layout,1,596.0,1.0,42.0,0.07046979865771812
Kyalasanahalli,4,1200.0,4.0,110.0,0.09166666666666666
Brookefield,2,1139.0,2.0,80.0,0.07023705004389816
Sarjapura - Attibele Road,2,1033.0,2.0,28.41,0.02750242013552759
Yeshwanthpur,2,1168.0,2.0,64.08,0.054863013698630135
Chandapura,2,877.0,2.0,42.0,0.04789053591790194
Electronics City Phase 1,2,1340.0,2.0,75.0,0.055970149253731345
B Narayanapura,3,1405.0,2.0,70.0,0.0498220640569395
Siddapura,3,1800.0,3.0,65.0,0.03611111111111111
 Devarabeesana Halli,3,1750.0,3.0,149.0,0.08514285714285715
Motappa Layout,3,1360.0,2.0,65.0,0.04779411764705882
Byrasandra,2,985.0,2.0,63.0,0.06395939086294417
Rustam Bagh Layout,3,1490.0,2.0,88.0,0.05906040268456376
Byagadadhenahalli,2,620.0,1.0,25.0,0.04032258064516129
Hormavu,2,1130.0,2.0,42.3,0.037433628318584065
Yelachenahalli,2,1080.0,2.0,55.0,0.05092592592592592
Begur Road,3,1410.0,2.0,52.17,0.037
Bommanahalli,3,1375.0,3.0,59.0,0.04290909090909091
Hennur Road,3,1290.0,2.0,94.5,0.07325581395348837
Hosa Road,3,1318.0,2.0,85.28,0.0647040971168437
Electronic City,2,1128.0,2.0,68.0,0.06028368794326241
Kanakpura Road,2,1051.0,2.0,56.74,0.05398667935299715
Kannamangala,4,2400.0,4.0,130.0,0.05416666666666667
Yelahanka,2,1327.0,2.0,85.0,0.0640542577241899
Basapura,2,1301.0,2.0,55.0,0.042275172943889314
Thippasandra,1,650.0,1.0,30.0,0.046153846153846156
Varthur,3,1200.0,3.0,67.75,0.05645833333333333
Banagiri Nagar,3,1500.0,2.0,89.99,0.05999333333333333
Sarjapur  Road,2,984.0,2.0,45.91,0.04665650406504065
Jakkur,3,1819.18,3.0,160.0,0.08795171450873471
Kaggadasapura,2,1118.0,2.0,30.0,0.026833631484794274
Roopena Agrahara,1,910.0,1.0,42.0,0.046153846153846156
Madiwala,3,1250.0,3.0,39.0,0.0312
Hosakerehalli,2,1304.0,2.0,100.0,0.07668711656441718
Begur Road,3,1615.0,3.0,58.0,0.03591331269349845
Sarjapur  Road,2,1400.0,2.0,68.0,0.04857142857142857
CV Raman Nagar,2,1070.0,2.0,47.5,0.04439252336448598
Hoodi,2,1132.0,2.0,89.37,0.0789487632508834
Rajarajeshwari Nagara,3,2000.0,3.0,85.0,0.0425
Sector 2 HSR Layout,1,794.0,1.0,65.0,0.0818639798488665
Raja Rajeshwari Nagar,2,1090.0,2.0,43.59,0.0399908256880734
Gottigere,3,1500.0,3.0,70.0,0.04666666666666667
Whitefield,2,1269.0,2.0,75.0,0.0591016548463357
Kanakpura Road,2,1070.0,2.0,37.45,0.035
Talaghattapura,2,1150.0,2.0,28.0,0.02434782608695652
Marathahalli,2,1208.0,2.0,70.0,0.057947019867549666
Ramamurthy Nagar,2,1185.0,2.0,45.5,0.03839662447257384
Anekal,2,888.0,2.0,34.0,0.038288288288288286
Celebrity Paradise Layout,1,532.0,1.0,22.49,0.04227443609022556
St Thomas Town,3,1060.0,3.0,62.0,0.05849056603773585
Electronic City,1,700.0,1.0,35.0,0.05
Ckikkakammana Halli,2,902.0,2.0,42.0,0.04656319290465632
Binny Pete,2,1365.0,2.0,122.0,0.08937728937728938
Doddathoguru,2,984.0,2.0,51.0,0.051829268292682924
Jalahalli East,3,1475.0,3.0,96.0,0.06508474576271187
Haralur Road,2,1300.0,2.0,79.0,0.06076923076923077
Babusapalaya,3,1453.0,2.0,43.59,0.030000000000000002
Akshaya Nagar,3,1666.0,3.0,95.0,0.05702280912364946
Murugeshpalya,3,1845.0,3.0,91.0,0.04932249322493225
Sarjapura - Attibele Road,3,1676.0,3.0,52.0,0.031026252983293555
Uttarahalli,2,1137.0,2.0,63.0,0.055408970976253295
Electronic City,3,1360.0,2.0,70.5,0.05183823529411765
Vijaya Bank Layout,3,1374.0,2.0,70.0,0.050946142649199416
Judicial Layout,3,1700.0,3.0,155.0,0.09117647058823529
Ferrar Nagar,4,2145.0,4.0,125.0,0.05827505827505827
Kasavanhalli,3,2170.0,3.0,151.0,0.0695852534562212
Bank Of Baroda Colony,2,1080.0,2.0,55.0,0.05092592592592592
Electronic City Phase II,3,1790.0,3.0,100.0,0.055865921787709494
Doddathoguru,1,550.0,1.0,17.0,0.03090909090909091
Somasundara Palya,2,1033.0,2.0,48.0,0.046466602129719266
Kamala Nagar,2,1000.0,2.0,80.0,0.08
Kumarapalli,2,1240.0,2.0,52.6,0.04241935483870968
Outer Ring Road East,3,1500.0,2.0,97.0,0.06466666666666666
Marathahalli,3,1730.0,3.0,139.0,0.08034682080924856
Kasavanhalli,3,1915.0,3.0,80.0,0.04177545691906005
Whitefield,3,1545.0,3.0,79.0,0.0511326860841424
Marenahalli,3,1865.0,4.0,140.0,0.07506702412868632
Hebbal Kempapura,2,1150.0,2.0,40.0,0.034782608695652174
HAL 3rd Stage,2,1200.0,2.0,49.0,0.04083333333333333
Kengeri,2,963.0,2.0,40.0,0.04153686396677051
Kaikondrahalli,4,1700.0,4.0,108.0,0.06352941176470588
Lingadheeranahalli,3,1682.0,3.0,120.0,0.0713436385255648
Yelahanka,3,1371.0,2.0,65.0,0.04741064916119621
Hennur Road,2,901.0,2.0,49.5,0.05493895671476138
Ambalipura,3,1730.0,3.0,120.0,0.06936416184971098
EPIP Zone,3,1500.0,3.0,102.0,0.068
Lingarajapuram,2,1203.0,2.0,59.86,0.049758935993349955
Horamavu Banaswadi,2,1357.0,2.0,54.0,0.0397936624907885
Vasantha Vallabha Nagar,3,1600.0,3.0,76.0,0.0475
Yelahanka New Town,1,350.0,1.0,13.5,0.03857142857142857
Varthur,3,1665.0,3.0,53.0,0.03183183183183183
Sarjapur  Road,1,835.0,1.0,46.95,0.056227544910179644
Haralur Road,3,1444.0,2.0,80.0,0.055401662049861494
Kanakapura,2,1277.0,2.0,55.0,0.04306969459671104
Lingadheeranahalli,3,1521.0,3.0,94.71,0.06226824457593688
Maithri Layout,2,1134.0,2.0,40.0,0.03527336860670194
Vasanthapura,2,995.0,2.0,34.82,0.03499497487437186
Marathahalli,2,1325.0,1.0,92.0,0.06943396226415094
Marathahalli,3,1525.0,3.0,90.0,0.05901639344262295
Raja Rajeshwari Nagar 5th Stage,3,1320.0,2.0,73.0,0.055303030303030305
Electronics City Phase 1,1,650.0,1.0,23.0,0.03538461538461538
Old Airport Road,3,1858.0,2.0,167.0,0.0898815931108719
Electronic City,2,1150.0,2.0,38.0,0.03304347826086956
Electronic City Phase II,2,769.0,2.0,40.0,0.05201560468140442
Electronic City,3,1571.0,3.0,105.0,0.0668364099299809
Hennur Road,3,1445.0,3.0,86.56,0.059903114186851215
Hosur Road,3,1590.0,2.0,135.0,0.08490566037735849
Bommasandra,2,902.0,2.0,49.0,0.05432372505543237
Sarjapur,3,2238.0,3.0,140.0,0.06255585344057193
Electronic City,2,1090.0,2.0,31.49,0.02888990825688073
Yelahanka,3,1712.0,3.0,82.0,0.04789719626168224
Haralur Road,2,1088.0,2.0,68.0,0.0625
Somasundara Palya,3,1575.0,3.0,63.1,0.040063492063492065
Kundalahalli,3,1920.0,3.0,150.0,0.078125
Margondanahalli,2,1000.0,2.0,57.0,0.057
Chennammana Kere,2,1100.0,2.0,56.1,0.051000000000000004
Electronic City,2,1089.0,2.0,45.0,0.04132231404958678
Horamavu Agara,2,1106.0,2.0,43.09,0.03896021699819169
Kengeri,2,927.0,2.0,37.0,0.039913700107874865
Kanakpura Road,2,1339.0,2.0,58.0,0.043315907393577296
Thanisandra,1,923.0,1.0,45.69,0.04950162513542795
Lakshminarayana Pura,2,1175.0,2.0,75.0,0.06382978723404255
Thubarahalli,2,975.0,2.0,55.0,0.05641025641025641
Subramanyapura,3,1330.0,3.0,72.0,0.05413533834586466
Thanisandra,2,1183.0,2.0,59.74,0.05049873203719358
Harlur,3,1758.0,3.0,133.0,0.07565415244596133
Pai Layout,2,1100.0,2.0,50.0,0.045454545454545456
Ramamurthy Nagar,2,1170.0,2.0,46.8,0.04
Raja Rajeshwari Nagar,3,1530.0,3.0,51.77,0.033836601307189546
Hebbal,2,1420.0,2.0,107.0,0.07535211267605633
Kanakpura Road,3,1591.0,3.0,115.0,0.07228158390949088
Kenchenhalli,2,675.0,3.0,52.0,0.07703703703703704
Hoodi,2,1055.0,2.0,57.63,0.054625592417061615
Iblur Village,3,1918.0,3.0,129.0,0.06725755995828989
Sarjapur  Road,2,1280.0,2.0,76.0,0.059375
Nagarbhavi,3,1560.0,3.0,66.0,0.04230769230769231
Sarjapur  Road,2,1145.0,2.0,49.5,0.04323144104803493
"EPIP AREA, WHITEFIELD",3,1801.0,3.0,139.0,0.07717934480843976
Hebbal,2,1320.0,2.0,92.0,0.0696969696969697
1st Stage Domlur,3,1350.0,2.0,65.0,0.04814814814814815
Bannerghatta Road,3,1344.0,2.0,42.0,0.03125
Bannerghatta Road,3,1893.0,3.0,100.0,0.05282620179609086
Chandapura,3,1107.0,2.0,43.0,0.03884372177055104
Lakshminarayana Pura,2,1190.0,2.0,75.0,0.06302521008403361
Whitefield,2,1000.0,2.0,35.0,0.035
Kalhalli,2,2400.0,2.0,160.0,0.06666666666666667
Kumaraswami Layout,2,1000.0,2.0,48.5,0.0485
Jalahalli,3,2113.0,3.0,155.0,0.07335541883577851
KR Puram,2,1100.0,2.0,46.0,0.04181818181818182
Harlur,4,1884.0,4.0,120.0,0.06369426751592357
Electronic City,2,1110.0,2.0,40.0,0.036036036036036036
Tavarekere,3,1250.0,3.0,40.0,0.032
Sarjapur  Road,3,1470.0,3.0,62.0,0.04217687074829932
Kamakshipalya,2,1150.0,2.0,75.0,0.06521739130434782
Kudlu Gate,1,703.0,1.0,52.0,0.07396870554765292
Vijaya Bank Colony,3,1400.0,2.0,62.0,0.04428571428571428
Bellandur,2,1195.0,2.0,51.0,0.042677824267782424
Narayanapura,2,1302.0,2.0,69.1,0.05307219662058371
Begur Road,3,1583.0,3.0,74.4,0.046999368288060644
Kumarapalli,3,1488.0,2.0,60.0,0.04032258064516129
Kammasandra,3,1385.0,2.0,34.63,0.02500361010830325
Electronic City,3,1600.0,3.0,104.0,0.065
Old Airport Road,2,1150.0,2.0,90.0,0.0782608695652174
Sarjapur  Road,2,1263.0,2.0,78.0,0.06175771971496437
Kanakpura Road,2,1299.0,2.0,85.0,0.06543494996150885
Banashankari,2,1330.0,2.0,78.0,0.058646616541353384
Devanahalli,3,1282.0,2.0,52.43,0.040897035881435256
"JP Nagar 8th Phase, ",3,1853.0,3.0,82.0,0.044252563410685376
Kachanayakanahalli,2,861.0,2.0,35.0,0.04065040650406504
Bannerghatta Road,3,1600.0,3.0,95.0,0.059375
Nagaraja Garden,2,1256.0,2.0,62.8,0.049999999999999996
Tejaswini Nagar,3,1390.0,2.0,80.0,0.05755395683453238
Ashwath Nagar,3,1550.0,2.0,90.0,0.05806451612903226
Hebbal,2,919.0,2.0,49.0,0.05331882480957562
Margondanahalli,3,1625.0,3.0,80.0,0.04923076923076923
Gunjur,2,1195.0,2.0,44.0,0.03682008368200837
Yelenahalli,2,1159.0,2.0,60.0,0.05176876617773943
Whitefield,3,1386.0,3.0,57.46,0.04145743145743146
Harlur,2,1197.0,2.0,79.0,0.06599832915622389
Bommasandra,3,1295.0,2.0,50.28,0.038826254826254826
Huskur,3,1310.0,2.0,37.83,0.028877862595419846
Whitefield,2,1132.0,2.0,79.28,0.07003533568904594
Hebbal,3,1645.0,3.0,135.0,0.08206686930091185
Whitefield,2,1200.0,2.0,45.84,0.038200000000000005
Marathahalli,3,1937.0,3.0,140.0,0.07227671657201859
Doddathoguru,2,1015.0,2.0,33.5,0.03300492610837438
Nagadevanahalli,2,1080.0,2.0,39.0,0.03611111111111111
Kathriguppe,3,1350.0,2.0,80.99,0.05999259259259259
Kengeri Satellite Town,3,1149.0,2.0,29.0,0.025239338555265448
Kothanur,2,1185.0,2.0,59.0,0.049789029535864976
Domlur,3,1720.0,3.0,135.0,0.07848837209302326
Tindlu,3,1500.0,3.0,87.0,0.058
Yelahanka,3,1566.0,3.0,97.0,0.06194125159642401
KSRTC Layout,4,1500.0,4.0,110.0,0.07333333333333333
KR Puram,2,1290.0,2.0,49.02,0.038
"JP nagar 9th Phase, ",3,1531.0,3.0,72.0,0.047028086218158065
Keshava Nagar,3,1839.0,3.0,165.0,0.08972267536704731
Whitefield,2,1140.0,2.0,39.0,0.034210526315789476
Tumkur Road,3,1343.5,3.0,57.76,0.04299218459248232
Banashankari Stage III,4,2000.0,4.0,100.0,0.05
Kaval Byrasandra,2,1100.0,2.0,46.0,0.04181818181818182
Vignana Nagar,2,1200.0,2.0,55.0,0.04583333333333333
Bannerghatta,3,1618.0,3.0,68.0,0.042027194066749075
Uttarahalli,3,1315.0,2.0,74.0,0.05627376425855513
Anandapura,2,1141.0,2.0,42.75,0.037467134092900964
AECS Layout,2,1080.0,2.0,55.0,0.05092592592592592
HBR Layout,2,1200.0,2.0,60.0,0.05
Varthur,2,1111.0,2.0,41.88,0.0376957695769577
NGR Layout,2,1022.0,2.0,45.9,0.0449119373776908
